"Current-Dollar and ""Real"" Gross Domestic Product",,,,,,,07/29/16
,,,,,,,
Annual,,,,Quarterly,,,
,,,,  (Seasonally adjusted annual rates),,,
,,,,,,,
,GDP in billions of current dollars,GDP in billions of chained 2009 dollars,,,GDP in billions of current dollars,GDP in billions of chained 2009 dollars,
,,,,,,,
,,,,,,,
1929,104.6,"1,056.60",,1947q1,243.1,"1,934.50",
1930,92.2,966.7,,1947q2,246.3,"1,932.30",
1931,77.4,904.8,,1947q3,250.1,"1,930.30",
1932,59.5,788.2,,1947q4,260.3,"1,960.70",
1933,57.2,778.3,,1948q1,266.2,"1,989.50",
1934,66.8,862.2,,1948q2,272.9,"2,021.90",
1935,74.3,939,,1948q3,279.5,"2,033.20",
1936,84.9,"1,060.50",,1948q4,280.7,"2,035.30",
1937,93,"1,114.60",,1949q1,275.4,"2,007.50",
1938,87.4,"1,077.70",,1949q2,271.7,"2,000.80",
1939,93.5,"1,163.60",,1949q3,273.3,"2,022.80",
1940,102.9,"1,266.10",,1949q4,271,"2,004.70",
1941,129.4,"1,490.30",,1950q1,281.2,"2,084.60",
1942,166,"1,771.80",,1950q2,290.7,"2,147.60",
1943,203.1,"2,073.70",,1950q3,308.5,"2,230.40",
1944,224.6,"2,239.40",,1950q4,320.3,"2,273.40",
1945,228.2,"2,217.80",,1951q1,336.4,"2,304.50",
1946,227.8,"1,960.90",,1951q2,344.5,"2,344.50",
1947,249.9,"1,939.40",,1951q3,351.8,"2,392.80",
1948,274.8,"2,020.00",,1951q4,356.6,"2,398.10",
1949,272.8,"2,008.90",,1952q1,360.2,"2,423.50",
1950,300.2,"2,184.00",,1952q2,361.4,"2,428.50",
1951,347.3,"2,360.00",,1952q3,368.1,"2,446.10",
1952,367.7,"2,456.10",,1952q4,381.2,"2,526.40",
1953,389.7,"2,571.40",,1953q1,388.5,"2,573.40",
1954,391.1,"2,556.90",,1953q2,392.3,"2,593.50",
1955,426.2,"2,739.00",,1953q3,391.7,"2,578.90",
1956,450.1,"2,797.40",,1953q4,386.5,"2,539.80",
1957,474.9,"2,856.30",,1954q1,385.9,"2,528.00",
1958,482,"2,835.30",,1954q2,386.7,"2,530.70",
1959,522.5,"3,031.00",,1954q3,391.6,"2,559.40",
1960,543.3,"3,108.70",,1954q4,400.3,"2,609.30",
1961,563.3,"3,188.10",,1955q1,413.8,"2,683.80",
1962,605.1,"3,383.10",,1955q2,422.2,"2,727.50",
1963,638.6,"3,530.40",,1955q3,430.9,"2,764.10",
1964,685.8,"3,734.00",,1955q4,437.8,"2,780.80",
1965,743.7,"3,976.70",,1956q1,440.5,"2,770.00",
1966,815,"4,238.90",,1956q2,446.8,"2,792.90",
1967,861.7,"4,355.20",,1956q3,452,"2,790.60",
1968,942.5,"4,569.00",,1956q4,461.3,"2,836.20",
1969,"1,019.90","4,712.50",,1957q1,470.6,"2,854.50",
1970,"1,075.90","4,722.00",,1957q2,472.8,"2,848.20",
1971,"1,167.80","4,877.60",,1957q3,480.3,"2,875.90",
1972,"1,282.40","5,134.30",,1957q4,475.7,"2,846.40",
